500 1009
1 7 503
1 12 1460
1 112 1722
2 208 1179
2 495 450
3 155 669
3 173 1248
3 444 1873
3 469 820
3 478 303
4 42 960
5 190 1957
5 318 777
5 349 75
5 441 276
6 89 707
6 230 272
7 19 861
7 284 1893
8 164 1451
8 492 430
9 352 1541
9 393 385
9 405 157
9 445 1890
10 362 593
10 426 684
11 20 1394
11 146 682
11 150 1127
11 151 1416
11 480 494
12 25 1233
12 69 1621
12 103 804
12 260 1093
12 290 325
12 454 1432
12 455 1992
12 463 1775
13 93 1980
14 158 827
14 302 1112
14 365 1661
14 383 1527
14 439 791
14 455 172
15 163 1193
15 207 1195
15 245 931
15 305 118
15 414 545
15 430 944
15 433 1274
15 439 781
16 247 603
16 494 1381
17 139 1438
17 306 1433
17 314 281
17 330 307
17 392 673
18 105 1177
18 112 266
18 248 48
19 21 304
20 41 868
20 273 252
20 378 1983
21 59 1930
21 341 1221
22 47 659
22 262 1651
22 381 1373
22 496 1488
23 53 537
23 105 1505
23 116 1970
23 167 1325
23 213 1860
23 311 1202
23 337 1380
24 205 1845
24 301 1792
25 27 626
25 39 589
25 132 1220
25 190 1183
25 234 1245
25 392 1793
25 450 1771
25 491 266
26 142 285
26 349 1940
26 350 1127
27 236 698
27 326 1052
27 475 773
28 83 1787
28 219 1907
29 164 923
30 55 564
30 110 1452
30 112 1960
30 328 1935
30 365 486
30 396 191
30 414 495
30 455 76
31 45 1364
32 81 1774
32 133 1285
32 468 1385
32 492 918
33 104 605
33 125 570
33 290 1438
33 299 928
33 339 36
33 371 1557
33 466 395
33 474 653
34 248 261
34 450 1226
35 52 1095
35 56 1331
35 113 1698
35 146 1758
35 261 1683
35 444 1085
35 473 1656
36 137 1045
36 373 1743
36 405 1718
36 413 241
36 490 1888
37 43 397
37 62 1436
37 256 1484
37 377 1088
38 190 302
39 234 1935
39 299 1095
40 62 569
40 186 835
40 218 1277
40 468 1235
41 64 1153
41 269 1113
41 286 1870
42 122 1491
42 140 684
42 187 1606
42 360 1695
43 201 519
43 328 360
43 358 297
44 126 784
44 146 1907
44 157 1846
44 380 1318
44 393 1841
44 469 1592
45 180 995
45 242 1214
46 112 99
46 170 1136
46 406 1405
47 141 1563
47 151 506
47 157 994
47 394 1627
47 402 1655
48 92 430
48 302 558
49 77 872
49 275 934
49 363 786
50 179 939
50 208 1350
50 333 1720
50 431 1665
51 179 351
51 191 100
51 288 1165
52 366 1630
52 488 1243
53 134 996
53 137 724
53 180 1539
53 259 440
53 304 976
54 124 202
54 158 1968
54 449 670
54 494 593
55 134 1796
55 157 688
55 158 1788
55 327 1028
55 355 262
55 389 770
55 401 1786
55 449 1123
57 120 1534
57 154 1373
57 369 518
58 315 108
58 409 1748
58 439 1632
59 200 375
60 62 1
60 432 227
61 211 1395
61 251 169
61 321 918
61 338 1105
61 388 770
62 160 1072
62 250 1885
62 282 1762
62 493 625
63 80 203
63 158 1312
63 361 46
63 379 1341
63 450 233
63 468 1561
64 342 1870
64 369 210
64 372 530
65 323 1000
65 500 938
66 231 1477
66 288 753
66 416 1245
67 301 1354
67 321 1510
67 362 1032
68 114 1195
68 120 710
68 216 1051
68 252 949
68 468 1861
69 85 1196
69 145 1661
69 171 1326
69 180 1065
69 363 440
69 409 221
70 73 939
70 134 923
70 148 580
70 172 860
70 271 670
70 315 847
70 375 206
70 420 1069
71 75 853
71 308 1273
71 479 298
72 277 1864
72 352 1662
73 110 1106
73 252 1538
73 256 1837
73 292 1441
73 343 1947
73 414 298
73 421 1788
73 452 1790
74 205 1469
75 105 1807
75 155 1418
75 347 73
76 121 1349
76 278 143
76 373 1994
77 165 1419
77 467 1641
78 124 1229
78 194 1755
78 407 977
79 89 1823
79 214 834
79 238 1425
79 297 173
79 434 1764
79 440 762
80 109 1155
80 128 805
80 176 1416
80 311 616
81 143 787
81 153 1977
81 207 363
82 122 42
82 456 166
83 193 1931
83 211 31
83 241 1278
83 328 1277
83 342 421
84 264 1101
84 278 419
84 376 841
85 298 75
85 388 1302
85 500 129
86 91 1945
86 267 1455
86 274 214
86 369 716
86 386 1853
87 154 893
87 478 771
88 327 1457
88 369 1878
88 430 1978
89 379 1379
90 335 1019
90 430 961
91 228 1595
91 268 1582
91 270 1047
91 333 68
91 471 1388
92 174 690
92 294 234
93 94 549
93 109 765
93 456 1832
93 493 1225
94 207 1642
94 382 839
94 492 1867
95 229 1375
95 238 1809
95 289 469
95 316 650
96 435 1927
96 450 446
97 175 1144
98 334 953
99 201 44
99 271 1451
99 279 740
100 153 843
100 230 1645
100 292 784
100 462 1172
101 109 1446
101 451 850
102 145 1521
102 169 256
102 201 1303
102 234 618
102 417 1742
102 494 1969
103 149 18
103 199 1759
103 436 79
104 189 1189
104 452 309
104 490 1047
105 185 1302
105 464 823
106 372 297
106 396 347
107 143 90
107 279 1138
108 243 1776
108 339 288
108 367 137
108 379 2000
109 210 1730
110 361 600
111 171 873
111 261 171
111 344 40
111 419 1412
112 180 1846
112 208 1180
112 299 1554
112 485 1420
113 123 581
113 132 23
113 473 170
114 121 197
114 428 1629
115 306 820
115 322 981
116 118 1755
116 130 1128
116 180 1948
116 203 706
117 403 1347
117 404 91
118 479 792
118 487 1134
119 255 896
119 262 197
119 373 600
120 127 354
120 143 1237
120 405 883
121 173 1101
121 367 1878
121 414 1394
121 454 1112
122 319 449
122 388 512
123 167 596
123 168 760
123 279 1158
124 158 602
124 171 43
124 343 155
124 368 1855
126 274 392
126 347 171
126 370 1387
126 387 203
126 409 1463
127 130 889
127 301 327
127 419 1388
128 317 177
128 362 1998
129 142 1815
129 175 740
129 324 1159
129 422 1287
129 423 1459
130 277 1020
130 288 1420
130 298 528
130 354 1039
130 460 1292
130 471 205
130 479 248
131 162 1884
131 295 1317
132 301 1114
133 141 467
133 243 1884
133 333 45
134 347 25
135 424 258
135 433 1306
136 185 144
137 259 1595
137 267 70
137 337 211
137 379 1524
138 227 1350
138 406 168
138 500 1302
139 183 977
139 193 1283
139 246 1794
139 300 890
139 381 480
139 419 575
140 252 128
140 301 1603
140 332 434
140 411 834
140 424 295
141 168 1403
141 227 483
141 241 1105
141 260 538
141 342 202
141 410 953
141 474 302
141 494 1662
143 338 996
143 381 1882
143 433 1751
144 279 243
144 353 1892
145 465 442
146 254 548
146 357 768
146 415 936
147 306 1484
147 450 1342
148 183 1376
148 194 1526
148 325 1781
148 342 1061
148 374 1145
148 479 1240
149 158 1272
150 175 1689
150 283 1925
151 388 779
151 480 1495
152 222 1616
152 269 85
152 371 593
152 398 587
152 403 732
152 424 1658
152 447 21
153 257 578
154 496 281
155 270 1938
155 294 935
155 335 1565
155 412 679
156 291 1653
157 344 44
159 204 1884
159 281 1140
159 332 122
160 319 1991
160 373 739
160 422 1753
161 407 1405
161 497 1564
162 309 644
163 269 1042
164 213 517
164 275 499
164 443 348
165 171 640
165 229 1414
165 420 912
165 429 739
166 234 1832
166 263 1734
166 267 511
166 323 867
166 419 374
166 451 1466
166 486 508
166 491 36
167 461 467
168 456 91
169 232 1636
169 248 1721
169 349 1870
169 352 1976
169 380 1920
169 419 1219
169 444 389
170 199 601
170 484 220
171 388 223
172 352 1933
172 426 1530
173 240 1100
173 421 61
174 447 1383
174 473 699
174 485 922
175 215 190
175 314 390
175 443 809
175 465 256
176 180 544
176 184 1793
176 254 1069
177 216 1313
177 472 883
178 321 187
178 422 534
178 427 489
180 266 1090
180 272 1762
180 281 122
180 342 319
180 359 1682
180 371 942
181 296 1439
181 383 207
181 388 24
181 463 1305
181 494 668
182 436 597
182 441 708
183 185 1269
183 340 769
184 236 1484
184 254 414
184 494 1302
184 498 1263
186 229 1177
186 267 839
186 304 147
186 351 1990
186 416 941
186 427 1279
187 272 1673
187 283 1263
188 318 965
189 263 1555
189 264 208
189 372 15
191 282 206
191 342 513
191 376 479
191 399 1266
191 417 1161
192 400 498
192 410 463
192 442 51
192 445 398
193 401 1499
193 441 241
195 366 1004
196 202 1678
196 237 1823
196 277 1801
196 335 618
197 379 561
197 452 1284
198 497 1042
199 216 95
199 292 1807
199 310 1983
200 206 832
201 412 471
201 464 402
