50000 65157
1 13 3343
1 20819 3522
2 4189 7420
2 11886 3529
3 35065 8174
3 37318 7851
4 19220 3673
4 30514 9536
4 31710 4687
4 33434 7155
5 47434 4013
5 48483 2181
6 701 9650
6 19672 8021
6 31247 987
7 13111 1753
8 39983 1323
9 7420 1584
9 16085 4326
9 16199 1538
10 8717 8123
10 9437 7541
10 10963 2007
10 35836 5126
11 4692 5078
11 14182 1440
12 33511 4744
13 20 4500
14 23000 1580
14 49783 1546
15 5996 2595
15 11395 2282
16 31549 2571
16 33841 2974
16 37004 7386
16 42548 9292
17 9957 692
17 22121 1951
18 1403 8714
18 27003 4367
18 30732 6611
19 35693 7254
20 30 4600
21 18672 6970
21 21949 3259
22 31662 2363
22 42271 1315
23 13242 5295
23 25147 7097
23 46313 8783
24 342 522
24 661 9750
24 44942 1607
25 9745 3852
25 38653 1864
26 11973 3087
26 26405 716
26 48428 9369
27 26639 7242
27 30967 9784
28 21449 5171
28 32351 9557
28 38553 3612
29 4671 587
29 29222 3011
29 44116 4547
30 32 2944
30 11351 3080
31 37152 958
31 43984 5252
31 48637 8166
31 49826 6358
32 33 4785
32 4342 4379
33 37 3909
33 26850 4381
34 7094 9299
34 40530 1820
34 42921 6075
35 3646 7216
35 26484 1474
35 40522 4114
36 43255 1722
37 42 487
38 1657 2880
38 28261 9256
38 42397 1996
39 1769 6226
39 14386 5012
39 14708 1770
39 21383 8518
39 28529 4743
39 36836 6519
40 3862 5334
40 33921 7099
41 13927 2184
41 14916 6475
41 37261 3910
42 47 4465
43 32005 5363
44 10003 694
45 33748 8540
46 5410 2321
46 5424 6737
46 32255 7375
47 53 2452
48 34857 9545
49 11245 9504
49 39157 7229
49 40152 4337
49 41743 1687
50 850 4036
50 2702 9218
50 22729 9888
50 22758 5229
51 49295 1995
52 33991 8126
52 35234 9200
53 60 1016
54 10140 9745
54 20219 5499
54 36108 7193
54 37030 3171
54 38908 7555
55 8360 221
55 11227 3343
55 13926 272
55 21343 5244
55 24931 6386
55 41264 139
55 49893 9496
56 15109 2210
57 4732 5305
57 21939 9480
57 25698 2464
58 46947 8312
59 831 2600
59 24222 8970
59 39187 3586
60 62 2720
61 40735 958
62 70 9434
63 8827 7968
63 47448 2197
64 5689 4604
65 15183 882
65 20670 559
65 29322 4641
65 48985 2885
66 6606 163
66 29986 2601
67 20769 2207
67 49671 1828
68 49407 2937
69 12512 4450
70 72 5198
70 7358 9752
71 856 5211
71 36414 8438
72 82 8858
73 1218 4362
73 12435 2771
73 31327 5916
74 8818 4610
74 9005 7611
74 45848 2167
75 23736 3732
75 29790 5664
76 27706 9185
77 558 9373
77 25940 7708
78 3449 7042
79 24593 3363
80 25685 4848
80 31261 1465
81 25676 9924
82 96 4238
83 723 4798
83 23561 3862
83 26603 2672
83 27658 7145
84 4445 610
84 6115 5479
84 38972 8332
85 4220 5373
85 24393 2722
85 40086 7739
86 2664 3168
86 6353 4910
86 7976 954
86 14000 9290
86 30128 6800
87 3249 9500
87 10490 3481
87 22926 7684
87 25048 1855
87 41773 8451
87 45198 2849
88 13623 1342
89 13433 2964
89 49680 9524
90 16689 9933
91 3729 6568
92 13780 1309
93 5945 6006
93 12070 5691
93 29452 7922
93 36422 7040
93 37174 5737
94 676 4757
94 33482 5938
94 39280 8884
94 40569 8528
95 18864 4893
95 24914 2844
95 47277 1534
96 102 4501
97 10849 5440
97 11463 6429
97 33166 7846
98 40767 8058
98 47238 9509
99 17679 9932
99 37064 7570
99 44045 6860
100 17798 3774
100 45108 3884
101 2527 6549
101 35672 5780
101 42749 9015
102 108 3642
103 1332 556
103 22295 2862
103 22381 3377
103 24427 5499
103 30334 995
103 32503 1097
104 20967 8919
104 32231 8890
104 33751 2640
104 46700 6607
105 857 2780
105 8738 57
106 22485 8991
106 25949 9373
106 28021 5615
106 42248 8255
107 4536 2419
107 7696 9504
107 19034 3242
107 21016 8669
107 22986 100
107 46590 2968
108 123 5929
109 17048 9118
109 40653 3132
109 43098 7018
109 43131 862
110 5868 938
110 8763 8836
110 16568 6695
110 33898 6461
110 45870 3406
111 14440 400
111 38092 1627
112 362 5584
112 2024 3269
112 6599 7784
112 23393 5721
113 31414 8857
113 34703 411
113 43009 8813
114 6499 4680
115 17295 196
116 5995 3672
117 45734 5908
118 37998 1084
119 7391 7394
119 10864 6690
119 18197 4745
119 36999 4981
120 16879 5871
121 19852 4999
121 21742 6758
121 25036 6499
121 31429 7754
121 35512 2886
122 39456 8803
123 126 9764
124 36864 322
125 2357 5311
125 20426 7348
125 32662 4283
126 127 769
126 34756 9755
127 129 2565
127 27215 3581
128 19745 2644
129 141 8197
129 29049 2915
130 538 352
130 17123 1255
130 33507 4980
131 2727 3406
132 23303 4606
133 4841 4419
134 16291 2022
134 38503 5603
134 43075 9239
135 11633 5449
135 21073 294
