50000 65079
1 5 8281
1 3912 6377
1 10932 4613
1 29231 1306
1 41724 5862
2 44070 2169
3 30101 7573
3 33000 799
4 10814 1143
5 8 5252
5 25548 6383
6 12085 9508
6 34105 7093
6 36152 1577
7 19772 5433
7 30211 3527
7 31227 7905
8 9 5413
8 3696 3797
9 11 4431
10 43036 2782
11 19 7929
11 15626 2537
12 14179 4935
12 16409 4918
12 32102 1199
13 8324 6981
13 35198 9763
14 38358 4879
15 44195 459
16 1838 4495
16 6710 9287
17 43298 7890
18 14181 8648
18 44995 6149
18 45218 8933
19 20 7826
20 21 2819
21 33 5745
21 42624 9774
22 9576 5748
22 10303 2035
22 35249 9551
22 44958 4773
22 45138 9063
23 7983 2089
23 23285 2549
24 594 2873
24 13400 7991
25 1623 4307
25 33647 3259
26 14904 7241
27 1779 8924
27 3262 2577
27 10820 721
28 2406 1323
28 5987 3699
28 6156 3743
29 8173 7262
29 27260 4611
30 3308 1679
30 15182 4505
31 15058 2355
31 34201 4958
31 41916 4307
32 22115 9870
32 29342 7431
33 34 4380
34 35 2296
34 14058 4963
35 46 7969
36 8886 8272
37 1047 431
37 11229 8679
37 15803 5359
37 22255 9871
37 36702 2568
38 18728 3425
38 41473 9887
39 7505 2661
39 33959 1624
39 37405 5282
39 48729 6509
40 46965 7858
40 49807 1073
41 8486 6567
41 9041 6627
41 32385 6098
41 36457 699
41 40345 5142
41 42570 8884
42 13149 3551
42 28514 4376
42 47870 5485
43 2863 1619
43 24930 42
43 38695 8644
44 25788 4631
44 34093 3263
45 8965 8910
45 15253 5177
46 50 9871
47 5077 5655
47 6607 4874
47 30034 6288
48 49727 6441
49 35128 2083
49 44446 1972
50 58 9675
51 6305 8556
51 30095 3276
52 3404 1409
52 16672 941
53 13164 9348
53 14175 2767
53 19466 7382
53 24690 9543
53 49969 6222
54 15680 9606
54 44979 1959
55 19901 1937
55 28404 944
55 38041 7478
55 47936 949
56 1426 4383
56 45767 8989
56 46639 2896
57 20286 1001
57 25920 6181
57 30685 8378
58 73 6269
59 49883 5615
60 23248 6768
60 48365 4555
61 653 5655
61 39382 9706
61 42454 6578
61 47347 341
62 2495 7644
62 8067 2542
62 24838 5669
62 24890 7614
62 32814 2208
62 39721 5434
63 19591 5950
63 46620 5215
64 22875 1833
64 42955 7059
64 49548 5607
65 2115 5781
65 11855 4979
65 20646 2345
66 3555 4232
66 15184 6276
66 27148 7744
66 32546 3842
67 8418 8983
67 19203 6851
67 25027 9271
67 29297 6204
67 34457 8237
67 38575 4684
68 21631 7198
68 23700 7140
68 40330 1138
69 9813 5290
69 48265 3994
70 25841 7977
70 29381 3224
70 39625 792
70 48544 4991
71 15399 288
71 21977 6253
72 22535 3648
72 41469 4672
72 45374 620
73 74 5623
74 83 8719
75 385 2665
75 663 4286
75 28802 5805
75 35831 7257
76 686 8807
77 2360 9372
78 18447 9086
79 6369 5433
79 14672 833
79 35310 8235
79 45630 708
80 9762 4351
80 17995 6571
80 30739 2525
81 4952 4793
81 15963 4364
81 19092 50
81 20072 455
81 37930 9163
81 47897 866
82 10979 8757
82 32653 4901
82 46939 9383
83 89 1906
83 33441 9116
84 3200 9552
84 7149 6768
84 8443 7039
84 30282 1234
84 39797 236
84 40162 4321
85 1769 5365
85 3039 1889
85 23394 6323
85 25820 4721
85 40886 7319
85 46661 9404
85 47481 8625
86 3721 1576
86 27924 5700
86 28575 5456
86 34312 3311
87 30532 884
88 16199 8424
89 91 8757
89 447 3990
90 2264 559
90 5364 4063
90 8235 3811
90 21077 1787
90 22413 534
90 41245 5335
91 93 1252
92 3711 3789
92 37715 4646
92 44310 823
93 108 3183
94 333 513
94 27897 4409
95 4645 4764
95 20146 1774
95 25222 7146
96 264 7702
96 36695 6843
97 13203 3041
97 13963 4767
97 20972 8827
97 23081 5693
97 25932 5127
97 42749 32
98 34427 1358
99 26424 1169
100 8046 7995
100 25362 638
101 144 4165
101 11460 5981
101 12390 5608
101 25443 8626
101 27118 7533
101 46622 5765
102 10747 9245
102 18207 5777
102 22187 64
103 5675 1093
103 36597 5162
104 11085 1093
104 31498 9233
104 32473 6588
105 9256 7287
105 9713 7488
105 27085 7919
105 31183 4204
105 43135 8080
106 14159 9008
106 22046 5065
107 10568 112
107 11632 1146
107 34045 8087
108 111 314
109 6464 8915
109 9593 332
110 20560 9357
110 20974 4213
111 135 5186
111 30699 4331
112 3541 6928
112 9682 7
112 9718 931
112 24035 4189
112 44870 9457
113 12858 4139
113 18909 1281
113 45369 7036
114 2181 2038
114 25416 2374
114 27943 3023
114 32008 7252
115 9690 3067
115 21270 5543
115 41115 6710
115 47283 770
116 2519 2632
116 37076 1763
117 5275 9171
117 43119 7611
117 45383 3876
117 46528 2009
118 28512 4167
119 21112 7601
120 13627 7210
120 16486 700
121 16979 3473
121 46330 9343
122 7173 2669
122 25919 8506
122 31407 7460
122 39223 3887
122 42843 4279
123 8132 7916
123 12427 4180
123 26547 6050
123 46825 1769
123 48996 4597
124 14957 269
124 34961 5099
124 37964 1522
125 14924 678
125 24977 9034
125 28664 4959
125 28901 6734
125 39821 8504
125 41633 8715
126 31423 5637
126 35009 4578
126 42930 3883
127 34511 4693
128 1592 497
129 9143 7374
129 22413 953
129 29970 6299
129 35729 3595
130 23449 7204
130 34445 7259
131 11780 6283
131 29112 8534
131 35918 8469
132 11089 8259
132 24301 3595
132 38042 3387
132 48410 5742
132 49261 2047
133 14513 9247
134 1828 9404
134 25620 5466
134 36547 3231
134 37463 6206
134 44928 6600
135 151 6134
136 6150 1847
136 14002 2564
136 23889 7594
136 36770 2896
137 29227 5335
138 19942 1120
138 47194 661
139 18982 5991
139 34007 1214
139 46852 242
140 23720 8142
140 30961 1510
141 30733 1082
142 9185 1411
142 13422 2748
142 21084 5795
142 24461 3534
142 48586 6055
143 2481 485
143 18693 5335
145 3421 4981
145 25973 9655
146 11716 6751
147 14418 5917
148 15010 7201
148 22456 3110
149 10246 1554
149 23234 418
149 25010 1182
149 26913 1884
149 33981 2392
149 38848 8066
150 1239 9644
150 3270 8446
150 23419 4949
151 158 764
152 4306 5832
152 10241 5844
152 38562 2554
153 17498 7753
153 38015 8193
153 41354 7154
154 1762 4353
154 9405 1915
154 15938 6046
154 16178 7738
154 23985 5159
154 25168 9654
154 44826 4035
155 9595 7689
155 17499 3511
155 36443 7548
155 39909 4674
156 17380 7097
156 21200 9988
156 38854 715
157 24027 699
157 33636 7609
158 167 9729
159 47005 7058
160 8715 1247
160 10961 4276
160 17184 1416
161 2308 3530
161 7911 1345
161 28811 3800
161 29032 2038
161 35669 8823
162 18775 3879
162 28470 826
163 36706 5021
164 9385 3363
164 11342 6952
165 6354 5458
165 22422 9682
165 33960 8227
166 5022 8928
166 14586 4908
166 35990 3690
167 180 918
168 7731 8262
168 29692 3756
168 45367 9860
169 43041 4855
170 17547 7356
170 22023 7427
170 43567 8596
171 37892 5332
171 39079 7353
172 337 5066
172 3169 9852
173 23469 3009
173 27606 6520
173 27956 1717
173 37795 4723
174 27464 1502
174 32612 2655
174 37483 6808
175 4610 8067
175 12150 6025
176 9743 4680
176 23076 1010
176 36452 3447
177 31561 4608
177 33345 7244
177 49133 2998
178 425 9754
178 6956 3953
178 21798 7918
179 39572 3021
180 185 4868
181 360 2305
182 25890 5031
182 34898 2483
182 39554 2347
183 10779 2789
183 20103 9060
183 21474 5442
183 48108 1349
184 33987 479
184 43803 7776
185 191 5540
186 28072 8620
187 8034 3535
187 31440 619
188 21539 9359
188 29110 5564
189 16203 9624
189 30559 926
190 18339 7532
190 45058 5685
191 195 903
192 5316 9750
192 29568 1145
193 6011 9212
193 32038 9208
193 48748 1272
194 37299 847
195 204 9037
196 16022 3194
196 41463 4659
197 14749 869
197 46545 7757
198 43443 7104
198 46069 4062
199 22035 4396
199 23679 6689
199 37094 4904
200 1638 8077
200 3165 6840
200 27024 2712
201 27902 9421
201 35744 1120
201 45836 3406
202 27175 5432
202 40062 8645
202 41665 9988
203 8589 9003
203 16760 9237
203 31683 5860
203 33530 7165
203 41440 7292
204 205 4259
204 37608 3860
205 208 7112
206 617 9039
206 15357 6321
206 29215 7480
207 48231 402
208 211 2059
208 43402 4955
209 9554 5376
209 15214 6024
210 32492 8635
210 48263 9322
211 218 1006
212 14161 5519
212 27965 1584
212 31889 2236
213 8494 5490
213 13265 7813
213 30070 4058
214 38317 8726
215 3481 1535
215 20661 9466
215 21334 2740
215 46126 4081
216 7536 8433
216 40024 4727
217 9448 6336
217 43329 5145
218 223 9242
219 2178 5633
220 20911 9929
221 13627 9767
222 628 106
222 33807 7492
222 40120 80
222 46990 9478
223 224 5371
224 282 1087
225 29999 2274
225 49669 9877
226 1082 7826
226 42690 1513
227 829 6466
227 18333 2758
227 46139 5921
228 20228 587
228 47208 3039
229 38195 5122
229 48945 1102
230 48265 3906
231 6144 5947
231 11434 6945
231 13565 4157
232 7381 1080
232 34352 1969
232 43939 6975
233 17443 1077
233 49019 1892
234 45982 3650
235 13170 2369
235 42818 8650
236 3167 3604
236 11774 2164
236 21278 9200
236 24531 9621
236 32224 7386
237 18212 8487
237 21024 9468
238 10430 1567
238 17252 5967
238 46884 4455
239 41114 7005
239 44405 9422
240 20646 257
241 9062 1885
241 26348 2654
241 48048 8813
241 48977 4406
242 3207 3892
242 19519 398
242 21137 9257
243 47522 2766
244 29442 5508
245 49635 5853
246 37089 1335
247 27627 9286
248 47688 3618
248 49136 3076
249 5228 4268
249 9492 3567
249 21132 2635
250 837 2188
250 20998 8618
250 25900 8278
250 37547 9707
250 41500 1202
251 7956 9832
251 28093 5437
252 23913 1853
252 33398 6730
252 49626 7964
253 32603 1862
253 32865 6158
253 42702 5010
253 45131 3908
254 48081 8892
255 12775 9821
255 23886 8034
255 34815 827
256 14173 4482
256 19525 5813
256 21308 4224
256 22004 2533
256 44624 3249
256 49795 9013
257 19953 6514
257 25422 1571
258 9818 2824
258 11377 3768
258 19612 4683
258 31822 4092
258 33712 3374
258 36883 2040
259 21099 8761
260 32335 6244
260 41882 6987
261 564 9274
261 3299 5203
261 24845 9667
261 27127 4303
261 36309 21
261 44158 5487
262 9194 8201
262 21161 3649
262 33088 7275
262 39188 5038
262 44176 3900
262 48841 8339
263 28167 5311
264 16357 5255
264 22333 7924
264 40716 2086
265 35504 7431
266 8273 4432
266 12662 7464
266 48768 369
267 14361 3913
267 15014 8972
267 48865 6087
268 39209 4276
268 43323 4675
268 47187 9572
269 3323 5601
269 19979 5842
269 37104 9533
270 13671 1706
270 30802 7399
271 5294 8766
271 29027 3540
271 31320 3048
272 15439 6160
272 23284 5019
273 2360 2457
273 18504 3616
273 19359 5861
274 10370 1441
274 10742 9407
275 19382 7261
275 31839 226
275 34495 4787
275 36108 1376
275 49709 2595
276 18650 2788
277 7884 6255
277 17693 4270
277 37803 9975
277 42104 562
277 43098 8868
278 27770 2038
278 28955 8590
278 44300 9461
279 18649 5253
279 21369 8373
279 24856 4881
279 26894 7722
279 28983 399
279 46290 3589
279 47025 8203
280 1180 2131
280 41714 7947
281 14827 93
281 35642 5496
282 300 6410
283 13365 7277
283 14806 7094
283 46734 4451
284 20372 2180
284 45822 4690
285 3120 1376
286 22794 8042
287 2997 9806
287 27762 9969
287 34020 3334
287 46204 1430
287 49517 5459
288 4380 6911
288 6404 2062
288 19071 6181
288 47595 8283
289 4248 1465
290 12837 9
290 46260 3958
291 21770 8709
292 26170 1131
293 14076 7555
293 36826 5099
294 22084 4089
294 45836 9363
295 6894 706
295 16539 4083
295 19973 4923
295 27412 8686
295 34242 7026
296 37507 8011
297 19048 2228
297 26982 4656
297 40071 9294
298 4934 7485
298 16345 2588
298 44577 6096
299 12851 7673
299 46282 883
300 301 9570
301 304 5228
302 39983 4106
302 49240 3852
303 7388 3146
303 9767 7369
303 16850 5313
303 24188 7357
304 306 665
304 4668 9597
305 1231 7670
305 8659 6643
305 19565 6726
305 21429 3663
305 25748 7560
305 38988 5836
306 311 6682
307 15209 5177
308 3308 987
308 9892 6568
308 12507 7679
308 23528 6976
308 29013 5376
308 39442 562
308 43817 818
309 5150 882
309 30318 9738
310 49706 4740
311 314 5659
312 2966 1160
313 3138 3155
313 11853 9073
313 27784 7941
314 328 3345
314 27984 153
315 1358 1340
315 5097 1039
315 26934 6367
315 48210 2859
316 15082 2161
316 28868 3858
316 34773 2970
316 39012 399
317 15457 2778
317 25062 9742
318 25337 4664
318 39519 8465
319 14713 9352
319 37708 4445
319 38043 2357
320 7725 4247
321 39197 3343
321 46972 3632
321 49894 7172
322 25711 9275
322 33860 6295
323 14158 2388
323 30000 6413
323 43623 5096
323 45904 6358
323 47861 7464
324 8014 7093
324 24694 4170
324 30820 8770
325 21734 7869
325 34621 4409
326 23652 5821
327 11470 3722
327 19692 5739
327 40354 3230
328 335 6301
329 27675 467
329 35430 8258
330 49036 1084
331 1165 8211
331 2136 5070
331 12333 4435
331 12782 261
331 34171 706
332 18993 1531
332 20753 5447
333 29592 7299
333 36965 122
333 39767 4315
334 897 994
334 21291 4333
334 24810 9634
335 343 2240
336 28924 1676
336 41887 9186
337 5625 2512
337 21187 1375
337 44697 9458
338 18571 4838
338 29131 4334
338 45068 1638
339 19985 5604
339 27341 926
339 39361 9495
340 3389 4908
340 7478 1551
340 20836 7960
340 23634 5858
340 42101 3332
341 4644 4496
341 28397 1627
341 35453 3612
341 37685 5599
341 46830 448
341 49675 5495
342 7689 5233
343 349 3069
343 14645 5641
344 14851 4943
345 10349 145
345 41327 8903
346 12380 6612
346 15063 5100
346 21745 8929
347 3871 991
348 34144 5443
348 41706 955
348 45840 3752
349 352 1062
350 6548 2374
350 17058 1467
350 24176 9773
350 45308 8615
351 25273 475
351 40120 5691
352 363 2274
353 14784 3647
353 32012 9689
354 7831 3066
354 43461 9815
355 6793 1377
355 13377 9447
355 16566 4231
355 27507 623
355 43446 2267
355 47054 8585
355 49395 3066
356 7911 7302
356 14818 4372
357 9054 9824
357 20296 5084
357 31381 3463
358 22242 3436
358 28383 7453
358 32635 7961
359 4273 6444
359 29878 7600
359 39170 5001
360 11526 5846
360 15552 2737
360 30176 3486
